rank,publication_year,medicine,computer_science,business
1,2006,664,1291,238
1,2007,742,1305,241
1,2008,732,1325,251
1,2009,829,1425,381
1,2010,928,1529,312
1,2011,979,1630,369
1,2012,1061,1571,350
1,2013,1138,1552,330
1,2014,1166,1624,343
1,2015,1133,1619,330
1,2016,1145,1514,331
1,2017,1170,1623,300
1,2018,1204,1838,360
1,2019,1207,2173,382
1,2020,1701,2426,559
1,2021,1729,2282,351
1,2022,1537,1620,309
1,2023,1718,1816,320
1,2024,1537,1760,273
1,2025,1077,1334,258
10,2006,194,727,42
10,2007,190,637,40
10,2008,205,589,36
10,2009,189,556,35
10,2010,211,540,30
10,2011,212,598,43
10,2012,209,562,44
10,2013,226,547,30
10,2014,251,476,34
10,2015,188,427,42
10,2016,200,399,24
10,2017,217,413,37
10,2018,253,410,29
10,2019,303,560,25
10,2020,371,641,62
10,2021,414,600,37
10,2022,328,486,27
10,2023,351,568,21
10,2024,279,497,19
10,2025,244,411,15
25,2006,262,824,86
25,2007,294,842,78
25,2008,333,908,95
25,2009,336,926,116
25,2010,353,891,118
25,2011,346,866,125
25,2012,426,881,106
25,2013,403,764,115
25,2014,420,875,109
25,2015,376,818,121
25,2016,382,801,124
25,2017,401,829,121
25,2018,487,963,152
25,2019,502,1228,175
25,2020,719,1441,204
25,2021,651,1168,180
25,2022,542,941,159
25,2023,599,913,242
25,2024,546,865,121
25,2025,472,714,105
50,2006,1354,498,81
50,2007,1567,566,106
50,2008,1737,587,122
50,2009,1979,618,117
50,2010,2410,547,104
50,2011,2551,631,145
50,2012,2953,589,176
50,2013,3219,635,151
50,2014,3419,676,171
50,2015,3570,659,182
50,2016,3506,594,203
50,2017,3528,623,213
50,2018,3828,609,201
50,2019,4190,659,227
50,2020,4552,771,223
50,2021,4898,903,252
50,2022,4995,961,267
50,2023,5093,1077,293
50,2024,4543,939,242
50,2025,3615,862,208
75,2006,356,270,63
75,2007,392,257,54
75,2008,527,237,56
75,2009,603,348,64
75,2010,676,307,75
75,2011,792,284,85
75,2012,768,315,75
75,2013,843,264,78
75,2014,808,261,100
75,2015,866,275,85
75,2016,984,313,91
75,2017,1150,324,123
75,2018,1112,380,133
75,2019,1365,464,152
75,2020,1600,476,145
75,2021,1843,470,171
75,2022,1702,426,184
75,2023,1695,492,194
75,2024,1661,428,171
75,2025,1315,300,117
