publication_year,uni_range,total_cs,total_med,total_bus
2006,Tier 1: 1-150,61445,129524,14850
2006,Tier 2: 151-300,38247,76857,11024
2006,Tier 3: 301-450,25737,36832,6712
2007,Tier 1: 1-150,61192,136632,16239
2007,Tier 2: 151-300,38395,81346,11659
2007,Tier 3: 301-450,27440,40239,7493
2008,Tier 1: 1-150,65176,156045,18300
2008,Tier 2: 151-300,42089,91158,13574
2008,Tier 3: 301-450,29914,44943,9126
2009,Tier 1: 1-150,69490,164071,20026
2009,Tier 2: 151-300,44448,98755,14709
2009,Tier 3: 301-450,32270,48915,10136
2010,Tier 1: 1-150,72519,179422,21489
2010,Tier 2: 151-300,46248,107021,15577
2010,Tier 3: 301-450,33559,53244,11130
2011,Tier 1: 1-150,74933,196312,23973
2011,Tier 2: 151-300,47818,117387,17819
2011,Tier 3: 301-450,35180,59511,12774
2012,Tier 1: 1-150,76124,213268,24357
2012,Tier 2: 151-300,49226,127314,17646
2012,Tier 3: 301-450,35649,65475,12940
2013,Tier 1: 1-150,78265,233846,24771
2013,Tier 2: 151-300,50194,138472,18150
2013,Tier 3: 301-450,37319,73282,13757
2014,Tier 1: 1-150,80456,244459,25557
2014,Tier 2: 151-300,52041,145080,18732
2014,Tier 3: 301-450,38625,75650,14080
2015,Tier 1: 1-150,80493,256475,27029
2015,Tier 2: 151-300,51889,152759,19849
2015,Tier 3: 301-450,39287,79157,14829
2016,Tier 1: 1-150,81623,273718,26758
2016,Tier 2: 151-300,52634,162397,19773
2016,Tier 3: 301-450,39645,85345,14671
2017,Tier 1: 1-150,86524,293542,28147
2017,Tier 2: 151-300,54853,174894,22009
2017,Tier 3: 301-450,42345,92969,15833
2018,Tier 1: 1-150,94798,315350,29813
2018,Tier 2: 151-300,60514,187691,22682
2018,Tier 3: 301-450,45176,102428,17126
2019,Tier 1: 1-150,109311,351056,32599
2019,Tier 2: 151-300,66453,207718,24311
2019,Tier 3: 301-450,49996,113855,18345
2020,Tier 1: 1-150,120440,422342,35325
2020,Tier 2: 151-300,72422,248393,26439
2020,Tier 3: 301-450,54205,140551,20321
2021,Tier 1: 1-150,124650,432019,33789
2021,Tier 2: 151-300,75439,260021,27028
2021,Tier 3: 301-450,56594,149272,20740
2022,Tier 1: 1-150,117149,426180,33563
2022,Tier 2: 151-300,73034,256590,26240
2022,Tier 3: 301-450,56349,152606,20752
2023,Tier 1: 1-150,127123,435302,34308
2023,Tier 2: 151-300,80698,263830,27712
2023,Tier 3: 301-450,62227,154904,22334
2024,Tier 1: 1-150,123756,407124,32415
2024,Tier 2: 151-300,78544,242892,25938
2024,Tier 3: 301-450,61382,148389,21075
2025,Tier 1: 1-150,104400,326999,26616
2025,Tier 2: 151-300,67288,197941,21302
2025,Tier 3: 301-450,51609,121667,17502
2026,Tier 1: 1-150,8478,30264,2257
2026,Tier 2: 151-300,5467,18997,1778
2026,Tier 3: 301-450,4533,11724,1640
